"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"AMELX.265"	"AMELX|265"	"1"	"1"	"0.236336968630137"	"0.236336968630137"	"1.16003821112061e-51"	"2.0996691621283e-49"
"AMFR.267"	"AMFR|267"	"0.354463211527739"	"0.278071604837527"	"0.367932245760678"	"0.785832261725105"	"0.0633154430206858"	"1"
"AMMECR1.9949"	"AMMECR1|9949"	"0.153856177550704"	"0.324826173878804"	"0.347027814875033"	"0.247251658899248"	"0.0239440555319235"	"1"
"AMPH.273"	"AMPH|273"	"0.202641928480431"	"0.152115810277631"	"0.133979586054988"	"0.0901690686384212"	"0.00866985773309104"	"1"
"AMY2A.279"	"AMY2A|279"	"1"	"1"	"0.167505868884028"	"0.0917709274689077"	"4.78188466429974e-19"	"8.65521124238252e-17"
"AMZ1.155185"	"AMZ1|155185"	"0.101118895529715"	"0.599234232590539"	"0.514255814934993"	"0.53919559650145"	"0.00198226733906411"	"0.358790388370604"
"AMZ2P1.201283"	"AMZ2P1|201283"	"0.56131520752836"	"0.842608874702012"	"0.62678251993599"	"0.610244590880556"	"0.176597866909752"	"1"
"ANGPTL1.9068"	"ANGPTL1|9068"	"0.0172096700896443"	"0.0305135899935202"	"0.0639165046612245"	"0.0275364927081113"	"0.00248825228880424"	"0.450373664273567"
"ANGPTL4.51129"	"ANGPTL4|51129"	"0.859410641977557"	"0.519924065026865"	"0.737653078099355"	"0.489033702777894"	"0.204131173255692"	"1"
"ANG.283"	"ANG|283"	"0.760446588344949"	"0.898696083938584"	"0.760446588344949"	"0.361588971249657"	"0.0431880747545363"	"1"
"ANK1.286"	"ANK1|286"	"0.174816737667965"	"0.186946651420117"	"0.388945631493218"	"0.281442196967601"	"0.0941609177992258"	"1"
"ANK2.287"	"ANK2|287"	"0.0454549201024936"	"0.0461070983261209"	"0.0266043734168875"	"0.00160195575774146"	"0.000410950792411391"	"0.0743820934264617"
"ANK3.288"	"ANK3|288"	"0.949880157269708"	"0.936283789044964"	"0.535306973488455"	"0.91112687226919"	"0.0456773912621394"	"1"
